question,subject,choices,answer,a,b,c,а,9,d,option,1,and,',,or,\,"',",it,ab,false,e,f,in,inc,cho,ch,choice,not,д,iii,iv,(,ii,cd,options,i,4,true,both,s,an,ac,al,wrong,k,sol,the,therefore,there,let,to,however,non,б,res,bc,parameter,param,3,bi,ba,с,correct,with,sub,aug,zero,none,one,2,ai,all,close,0,high,they,h,bb,nom,n,remove,rem,.,",",because,instead,rather,model,un,unc,independ,tr,t,no,either,apparently,likely,something,seemingly,probably,use,using,station,is,isn,are,might,doesn,exists,seems,does,may,mult,be,less,eng,type
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9999689980514977,2.5867187458274623e-05,2.406023228747895e-06,5.714806080548988e-07,3.9277249495307764e-07,2.3822856048086717e-07,1.637319355203067e-07,1.637319355203067e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,,4.6597384097783135e-06,0.999888552076296,,,1.7313028513223343e-05,,,2.223036865081835e-05,2.0883498701737942e-05,9.864666290911408e-06,4.960265717215733e-06,3.008553237812817e-06,1.56081685828317e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.9998195306766836,0.0001795268163491021,9.929357083877206e-08,2.1020429064868347e-07,,5.3148018569912685e-08,2.8448084342685285e-08,,,,,,,,9.327767749933768e-08,4.69029617664565e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,0.0046004611593147785,0.9931996387082249,0.001026265019707479,,,0.001162910619518126,,,,,,,,,,,1.6424372984437404e-06,8.258693384947952e-07,6.431876875344097e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,2.1441788629584383e-05,9.609542974970733e-05,0.9998374541243731,,,3.119761837010345e-05,,,,,,,,,,,6.4888569668653295e-06,8.313883686073588e-07,,5.714043122553545e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,0.9989309601691897,0.0007093908754746134,9.600556927879172e-05,,,0.00024515880962565253,,,,,,,,,,,8.841807252653768e-07,1.5517854994715339e-06,1.0665255367700791e-06,,9.412054827269678e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,0.0036894293603383825,0.7030967733736817,0.29310370400848024,,,4.598485822020722e-06,,,,,,,,,,,,,,,,7.193242093852861e-05,1.1031194028103492e-05,1.3174882463025113e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,6.605001971865911e-05,1.7777121640767696e-05,7.888549909074819e-06,,,0.9999066820284757,,,,,,,,,,,,3.465986937399569e-07,2.5357702131264306e-07,,,,,,2.2378093587503542e-07,9.930209364007216e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,0.0006054897384476564,0.03305861958329441,0.19023922071908145,,,0.7524107584997636,,,,,,,,,,,,0.0006861097604697991,,,,,,,,,0.01769500394302003,0.003948289063633157,0.0003672480905098869,0.0003449976535182934,5.9951631320182874e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,1.8734875675652749e-06,0.00017952270735339338,0.999801996819593,,,1.0781176569774597e-05,7.336682729675912e-07,,,,,,,,,,,,,,,5.713814255018053e-07,,6.89217559397558e-07,,,,,,,,3.9270432784769336e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
