question,subject,choices,answer,d,a,b,c,choice,4,sol,e,д,family,f,б,coin,author,co,s,cont,contribute,contrib,а,im,not,pres,ch,president,bc,the,relative,ab,jud,j,cd,an,option,const,am,it,1,st,de,stare,(,wrong,four,options,answers,responses,cho,statements,alternatives,solutions,items,reg,g,mil,creat,schedule,brown,none,false,prevent,pre,prev,с,execut,reflect,ref,red,app,i,iii,cl,white,under,check,v,3,.,",",',(',and,who,;,that,-,for,inc,in,p,party,part,end,ending,this,true,res,cooperation,elect,election,elections,elected,ele,system,2,prov,provider,provide,bar,,"""",scott,decision,'},mar,to,t,ent,hor,income,apply,state,third,gr,ag,r,therefore,there,since,however,appro,rep,representatives,re,coalition,free,o,overs,camp,south,ger,deleg,h,ans,reduce,redu,ac,orders,order,ordered,ii,fr,house,any,local,appoint,due,ind,sen,shared,both,one,social,media,pet,du,will,polit,pol,political,apol,correct,issues,iss,issue,poss,maybe,possible,vi,here,above,so,:,dec,presid,ne,neg,are,congress,0,econom,economic,first,no,fif,5,all,block,w,ba,rules,aff,affirm,governor,decl,declare,declaration,om,univers,int,call,john,loc,del,comb,dep,do
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.999864049798925,9.027562647937468e-05,2.4297355246163325e-05,6.1433334795642714e-06,1.6389703103274667e-06,8.31409776473796e-07,6.475025849710141e-07,6.082723865272631e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,0.999598486560357,1.077905874118622e-05,0.0003799749184183414,1.0125988586304115e-05,,3.887539297135648e-08,,4.991699265894571e-08,1.2136480156683203e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,1.9943380558538e-06,0.0001795245906314189,0.9998104930026795,2.405630890542283e-06,,,,,,3.6638775290497076e-06,9.9292245135426e-08,9.327643211629697e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,,0.9993466307820216,2.585068924625104e-05,0.0005527121070579788,,,,,,,,,2.585068924625104e-05,2.1472333122425573e-05,1.7766901568305416e-05,9.416112869637243e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,,0.9967710492368904,1.886432993169971e-05,1.6647712734058867e-05,,,,,,,,,,,,,0.0031825883295261656,3.2781290027817246e-06,1.6483467792610417e-06,5.351398489492862e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,8.47812770403457e-05,0.9996386121129048,0.00014879577509269997,2.143606381869124e-05,,,,,,,,,,,,,,,,4.783032352816538e-06,4.793360196790945e-05,6.141535109856204e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,1.7675960319754513e-05,0.00025974634077712244,0.994214184019599,0.00521714471834178,,,,,,,,,,,,,,,,,,,0.0002645037609574663,1.0721011873795036e-05,2.546463521795929e-06,1.544508199809041e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.9999767353709688,6.962098893623396e-06,1.1478560534634722e-05,3.7265429992913404e-06,,6.023390015806207e-08,,1.4449375274837113e-07,9.930891240782473e-08,,,,,,,,,,,,,,,,,,4.993565713260447e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,5.361525902990502e-06,0.010984736389669677,0.9888062328897186,0.00020118977522274835,,,,,,,,,,,,,,,,,,,,,,,2.212966030460574e-07,2.841504629377956e-07,1.0453301382366484e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,0.0019265183612911243,8.381020582172199e-06,4.530736920777979e-05,0.9979652601789036,,,,,,,,,,,,,,,,,,,,,,,,,,4.569935475662076e-05,7.396224704264707e-06,2.3775125353632857e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following people would most likely be accused of influence peddling?,high_school_government_and_politics,"['A congressperson who retires to take a position teaching political science at a university'
 'A former president who advises a current president on a particular foreign policy issue'
 'A voter who researches the positions of all candidates in a race before choosing whom to support'
 'An official who leaves the State Department to work as a paid consultant to foreign governments']",3,0.999985566145429,3.288694017503554e-06,4.785021560773912e-06,4.785021560773912e-06,,,,8.764064340127165e-08,1.125328136620996e-07,,,,,,,,,,,,,,,,,,,,,,,,4.450763363373972e-07,1.3574061334395406e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following does the Supreme Court NOT have the power to override?,high_school_government_and_politics,"['Constitutional amendments' 'Presidential executive orders'
 'Laws passed by Congress' 'Laws passed by state legislatures']",0,2.2826776710949746e-05,0.9999306971622524,2.4298977323761244e-05,1.4738074746523228e-05,,,,,,,,,,,,,,,,4.180869992315229e-07,,,,,,,,,,,,,,,5.740888155061473e-06,1.0570894789691759e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to The Federalist Papers, federalism has which of the following effects on political factions?",high_school_government_and_politics,"['It provides a structured environment in which factions may flourish.'
 'It limits the dangers of factionalism by diluting political power.'
 'It allows factions to dominate on the national level while limiting their influence on state governments.'
 'It eliminates any opportunity for factions to form.']",1,1.1478527694256587e-05,4.222714353634037e-06,0.9999742671416654,6.144013130922572e-06,,,,,,,,,,,,,,,,,,,,,,,8.232982304908837e-08,,,,,,,,,,2.7371643199744996e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements about voting patterns is NOT true?,high_school_government_and_politics,"['Non-whites are more likely to vote Democratic than are whites.'
 'Women are more likely to vote Democratic than are men.'
 'Low-income Americans are more likely to vote Democratic than are upper-income Americans.'
 'Evangelical Christians are more likely to vote Democratic than are non-religious Americans.']",3,0.9999792012585889,3.288678335825847e-06,1.0129842420682487e-05,6.144060006201568e-06,,,,1.0571439188016032e-07,,,7.734230130411525e-08,,,,,,,,,,,6.825434133964623e-08,,,,,,,,,,,,,,,,5.315653448333944e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The legal principle that instructs judges to follow established precedent when deciding cases is commonly referred to as,high_school_government_and_politics,['certiorari' 'de jure' 'ex post facto' 'stare decisis'],3,0.7770605291754089,5.7590156286412655e-06,1.7739016972523095e-05,1.88830852739007e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22263545503789525,0.00023004307230874393,1.2978142059247637e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
