question,subject,choices,answer,a,b,d,c,1,the,ab,ad,e,s,g,f,cd,none,option,(,2,',n,Ð°,4,cont,bc,w,h,cl,sol,not,Ð±,Ñ,3,cho,he,false,Unnamed: 38,ke,ind,europe,q,m,both,what,r,p,bd,cap,bl,ac,all,pol,correct,mor,dec,pro,abs,ch,mar,ba,l,output
"This question refers to the following information.
No task is more urgent than that of preserving peace. Without peace our independence means little. The rehabilitation and upbuilding of our countries will have little meaning. Our revolutions will not be allowed to run their course. What can we do? We can do much! We can inject the voice of reason into world affairs. We can mobilize all the spiritual, all the moral, all the political strength of Asia and Africa on the side of peace. Yes, we! We, the peoples of Asia and Africa, 1.4 billion strong.
Indonesian leader Sukarno, keynote address to the Bandung Conference, 1955
The passage above is most associated with which of the following developments?",high_school_world_history,"['The formation of the non-aligned movement'
 'Global disarmanent and nuclear non-proliferation'
 'The Green Revolution in agriculture'
 'Mobilization of pan-Asian ideology']",0,0.9985551907326048,0.0010316975560023,0.0003349431571237,5.8204393245134807e-05,7.877108045445506e-06,2.4023822211361307e-06,9.407863952252148e-07,3.921781167996465e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Gunpowder Weaponry: Europe vs. China
In Western Europe during the 1200s through the 1400s, early cannons, as heavy and as slow to fire as they were, proved useful enough in the protracted sieges that dominated warfare during this period that governments found it sufficiently worthwhile to pay for them and for the experimentation that eventually produced gunpowder weapons that were both more powerful and easier to move. By contrast, China, especially after the mid-1300s, was threatened mainly by highly mobile steppe nomads, against whom early gunpowder weapons, with their unwieldiness, proved of little utility. It therefore devoted its efforts to the improvement of horse archer units who could effectively combat the country's deadliest foe.
The argument in this passage most closely relates to which of the following large-scale questions about global history?",high_school_world_history,"['How societies shared strategically important technologies with each other'
 'Why European states went on to attain military superiority over non-Western powers in the modern era'
 'Why Silk Road commerce dwindled across the breadth of Eurasia after 1500 C.E.'
 'How the medieval climatic optimum affected the process of cultural diffusion']",1,0.7540618275053361,0.2448098484499398,0.0008293156892922,0.0002529269950558,,,4.351849338291009e-06,,2.0556680699767897e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The city of Ghana consists of two towns. One is inhabited by Muslims and has twelve mosques, salaried imams and muezzins, and jurists and scholars. In the environs are wells with sweet water, from which they drink and with which they grow vegetables. . . . The king's interpreters, the official in charge of his treasury and the majority of his ministers are Muslims. Only royalty may wear sewn clothes. All other people wear robes of cotton, silk, or brocade, according to their means. . . . The king adorns himself like a woman, wearing necklaces round his neck and bracelets on his forearms. . . . He sits . . . in a domed pavilion around which stand ten horses. When people who profess the same religion as the king approach him they fall on their knees and sprinkle dust on their heads, for this is their way of greeting him. As for the Muslims, they greet him only by clapping their hands. [The people's] religion is paganism and the worship of idols. . . . On every donkey-load of salt when it is brought into the country their king levies one golden dinar, and two dinars when it is sent out. From a load of copper the king's due is five mithqals, and from a load of other goods ten mithqals. . . . The nuggets found in all the mines of his country are reserved for the king, only this gold dust being left for the people. But for this the people would accumulate gold until it lost its value. Beyond this country lies another called Malal, the king of which was sincerely attached to Islam, while the common people of his kingdom remained polytheists. Since then their rulers have been given the title of al-musulmani .
âThe Book of Routes and Realms , by Abu Ubaydallah al-Bakri, eleventh-century Muslim historian and geographer
What evidence is there in the passage that Ghanians were engaged, directly or indirectly, in trade with Asia?",high_school_world_history,"['They kept horses in their court, which would have come from the Mongols.'
 'The Ghanian king had adopted the Chinese tradition of the kow-tow .'
 'The king adorned himself with gold and jewels, probably from India.'
 'The people in his court wore silk robes.']",3,0.0013175807253505,0.0007991531065714,0.0045988086056145,0.9932181105413648,,,,,3.298498804217903e-05,2.707572698051584e-06,2.707572698051584e-06,1.542728420060158e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
No task is more urgent than that of preserving peace. Without peace our independence means little. The rehabilitation and upbuilding of our countries will have little meaning. Our revolutions will not be allowed to run their course. What can we do? We can do much! We can inject the voice of reason into world affairs. We can mobilize all the spiritual, all the moral, all the political strength of Asia and Africa on the side of peace. Yes, we! We, the peoples of Asia and Africa, 1.4 billion strong.
Indonesian leader Sukarno, keynote address to the Bandung Conference, 1955
Like numerous other leaders in Africa, Asia, and the Middle East, Sukarno attempted, but did not completely succeed, in maintaining a neutral stance during",high_school_world_history,"['the Arab-Israeli conflict.' 'the Korean War.' 'the Cold War.'
 'the Vietnam conflicts.']",2,0.0031963441793275,0.0043688844973549,0.1058651549888595,0.8864558657715567,,,,,1.4802010138868056e-05,5.115437823543419e-06,,,7.442918115268892e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Bonesteel's prime consideration was to establish a surrender zone as far north as he thought the Soviets would accept. He knew that the Russian troops could reach the southern tip of Korea before American troops could arrive. He also knew that the Russians were on the verge of moving into Korea, or were already there. The nearest American troops to Korea were on Okinawa, 600 miles away. His problem, therefore, was to compose a surrender arrangement which, while acceptable to the Russians, would at the same time prevent them from seizing all of Korea. If they refused to confine their advance to north Korea, the United States would be unable to stop them. . . . He decided to use the 38th parallel as a hypothetical line dividing the zones within which Japanese forces in Korea would surrender to appointed American and Russian authorities.
âAdapted from U.S. Army Lt. Paul C. McGrath's account of Colonel Bonesteel's decision in the 1940s
How did the events depicted here affect Koreans?",high_school_world_history,"['They became a part of Japanâs territory.'
 'The Americans established freedom for all Koreans.'
 'The Korean economy never recovered.'
 'Korea remains divided into two nations near the 38th parallel.']",3,0.0001910225766338,0.0001233334451181,0.9994473448125564,0.0002033424743549,,,,,1.0123825672802e-05,1.6526691099511023e-06,2.1220691425519238e-06,2.724790715005432e-06,,1.3701108148667496e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Both authors below were speaking of the French Revolution.
It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other wayâin short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.
There were a king with a large jaw and a queen with a plain face, on the throne of England; there were a king with a large jaw and a queen with a fair face, on the throne of France. In both countries it was clearer than crystal . . . that things in general were settled for ever.
âA Tale of Two Cities, by Charles Dickens
Bliss was it in that dawn to be alive. But to be young was very heaven.
âThe Prelude, by William Wordsworth
Dickens's and Wordsworth's differing views about the French Revolution can be described, respectively, by which of the following adjectives?",high_school_world_history,"['Optimistic, encouraged' 'Understanding, accepting'
 'Cynical, enthusiastic' 'Sincere, resigned']",2,0.5199769354856586,0.4049605402848593,0.0201605470561745,0.0548088118230756,,,,,5.267114182530504e-06,,4.102032649881259e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Woman, wake up; the bell of reason is being heard throughout the whole universe; discover your rights. Enslaved man has multiplied his strength, [but] having become free, he has become unjust to his companion. Oh, women, women! When will you cease to be blind? What advantage have you received from the Revolution? A more pronounced scorn, a more marked disdain. If our leaders persist, courageously oppose the force of reason to their empty pretentions of superiority. Regardless of what barriers confront you, it is in your power to free yourselves!
Olympe de Gouges, ""Declaration of the Rights of Woman and the Female Citizen,"" 1791
The independence? Nothing of what I hoped for was achieved. I had expected that my children would be able to have an education, but they did not get it. We were poor peasants then, we are poor peasants now. Nothing has changed. Everything is the same. The only thing is that we are free, the war is over, we work without fearâbut apart from that, nothing has changed.
Halima Ghomri, interviewed in the 1970s, after Algeria's war of independence
Which of the following observations about revolutions and gender is best supported by the first passage?",high_school_world_history,"['Revolutionary progressivism does not always concern itself with gender equality.'
 'Women typically assume leadership roles during times of revolution.'
 'Women rarely support revolutions and therefore receive little benefit from them.'
 ""Revolutionary movements are generally uninterested in women's rights.""]",0,0.9991187726411236,3.117340934090235e-05,0.0006261346643383,0.000203276163676,,1.286680269260306e-06,,,,9.413553944481132e-07,,,,,1.872108745132381e-06,8.843215542944897e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The question as to who, and what, is responsible for African underdevelopment can be answered at two levels. Firstly, the answer is that the operation of the imperialist system bears major responsibility for African economic retardation by draining African wealth and by making it impossible to develop more rapidly the resources of the continent. Secondly, one has to deal with those who manipulate the system and those who are either agents or unwitting accomplices of the said system. The capitalists of Western Europe were the ones who actively extended their exploitation from inside Europe to cover the whole of Africa.""
Walter Rodney, historian, How Europe Underdeveloped Africa, 1974
Which of the following best explains the importance of trading contacts with Europeans for Sub-Saharan Africans in the period 1450 to 1750 C.E.?",high_school_world_history,"['Sub-Saharan Africans relied on European merchants to sustain population growth through the constant importation of New World foodstuffs.'
 'Sub-Saharan Africans consolidated new states and kingdoms by trading with the Europeans for firearms.'
 'Sub-Saharan Africans depended on European merchants as the sole purchasers of slaves.'
 'Sub-Saharan Africans allied with European powers to evict Muslim and Arab merchant princes from encroaching on their sovereignty.']",1,0.0012387297218339,0.9940189620542668,0.0019200325290735,0.0027928830486454,,,,,1.0611382921698118e-06,1.982467324622784e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Source 1:
""It is impossible to demand that an impossible position should be cleared up by peaceful revision and at the same time constantly reject peaceful revision. It is also impossible to say that he who undertakes to carry out these revisions for himself transgresses a law, since the Versailles ""Diktat"" is not law to us. A signature was forced out of us with pistols at our head and with the threat of hunger for millions of people. And then this document, with our signature, obtained by force, was proclaimed as a solemn law.""
Adolf Hitler, speech to the Reichstag, September 1, 1939
Source 2:
""We shall not flag or fail. We shall go on to the end. We shall fight in France, we shall fight on the seas and the oceans, we shall fight with growing confidence and growing strength in the air, we shall defend our island, whatever the cost may be. We shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.""
Winston Churchill, speech before Parliament, June 4, 1940
What is the historical background for Adolf Hitler's condemnation of the Treaty of Versailles mentioned in Source 1?",high_school_world_history,"[""Hitler's belief that Poland's territorial borders should not be violated""
 'A rising intolerance of ethnic and political minority groups'
 'A widespread belief in Germany that it had been unfairly treated at the end of World War I'
 ""Hitler's attempted collaboration with Italian leader Benito Mussolini""]",2,0.0048845358046261,0.0117173922642153,0.930859016690285,0.0525181504432658,1.3584298834242933e-06,,,,1.8567535050886208e-06,,,,,,,,1.8567535050886208e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
In fact, the peculiar aggravation of the Cawnpore massacres was this, that the deed was done by a subject race â by black men who dared to shed the blood of their masters, and that of poor helpless ladies and children. Here we had not only a servile war, but we had a war of religion, a war of race, and a war of revenge, of hope, of national promptings to shake off the yoke of a stranger, and to re-establish the full power of native chiefs, and the full sway of native religions. Whatever the causes of the mutiny and the revolt, it is clear enough that one of the modes by which the leaders, as if by common instinct, determined to effect their end was, the destruction of every white man, woman or child who fell into their hands.
British journalist William Howard Russell, My Indian Mutlny Diary, 1860
Violence, it must be emphasized, was an essential component of the British presence in India. A dominant power is always uneasy with violence directed against it. The right to violence is, therefore, everywhere a privilege that authority enjoys and refuses to share with those under it: power always insists on violence as its exclusive monopoly. British rule in India, as an autocracy, had meticulously constructed a monopoly of violence. The revolt of 1857 shattered that monopoly by matching an official, alien violence by an indigenous violence of the colonized. The bodies of the British had acquired certain dignities in India that were predestined by birth and by the colour of their skin. This was the condition of their domination, of their superiority: rulers and ruled were arranged hierarchically as superior and inferior races, as civilized and uncivilized. And this superiority manifested itself by denying to the Indians a ""humanness""; by treating them and conceiving of them as animals.
Rudrangshu Mukherjee, ""The Kanpur [Cawnpore] Massacres in India in the Revolt of 1857,"" 1990
According to the second passage, the Cawnpore Massacre",high_school_world_history,"['was justifiable according to local military custom, even if it violated Western military norms.'
 'can be viewed as a reaction to the systemic brute force with which the British governed India.'
 'should be praised as a brave patriotic blow against British colonial oppression.'
 'seems to have been the product of a well-organized and long-premeditated conspiracy.']",1,2.42554042677192e-05,0.9983386538828918,0.001325184335835,0.0002954913160059,,,,,,7.324497427356572e-07,,,,,,,,2.71630906245986e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
