question,subject,choices,answer,c,a,b,d,'},',?,sol,}',e,ad,none,less,f,Unnamed: 18,i,ii,cd,.,2,1,ac,output,0,4,ab,____,________,v,g,},bd,db,}},gra,(,both,bc,all,5,n,x,the,h,3,**,p
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",high_school_physics,['0.005 C' '0.01 C' '0.02 C' '0.5 C'],1,0.4490259144886004,0.3963267712465392,0.1457773710465635,0.0072578296691839,0.0005257554178316,0.0001173118905796,0.0001173118905796,9.136259224704536e-05,7.115325838543238e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,high_school_physics,"['the electric field produced by a finite-length charged rod'
 'the electric field produced by an infinitely long charged cylinder'
 'the electric field produced by an infinite plane of charge'
 'the magnetic field produced by an infinitely long, straight current-carrying wire']",0,0.1065603071848903,0.1207486472448843,0.0732377566728477,0.6950018706897804,0.0004934721227935,0.0001101085137877,0.0015200011471,,,0.0003391580993782,0.0001101085137877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",high_school_physics,"['electric field outside the object is zero'
 'the electric field outside the object is equal to the electric field inside the object'
 'the electric field outside the object is directly proportional to the distance away from the center of mass of the object'
 'the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space']",3,0.062627235764836,0.0379853386244246,0.0335219436796817,0.8646756898738287,5.039817992108975e-05,,7.332891909756901e-05,,,0.0007883605520582,,2.697620177931959e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,high_school_physics,"['Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.'
 'Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.']",2,0.0001229271508252,0.9960959539815306,0.0035924579401363,0.0001788579490742,,,,,,1.7534616331384567e-06,,,2.251489304136575e-06,5.023751690044707e-07,3.912501750163112e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,high_school_physics,"['I only' 'II only' 'II and III only' '(E) I, II, and III']",3,0.0261349780872758,0.0335579761286393,0.763833209033644,0.1704214648209165,,,,,,0.0010965449784069,,,,,,0.0024309316373198,0.0022824334187048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The objectâs kinetic energy at the bottom must be,high_school_physics,"['Equal to the blockâs gravitational potential energy when it was released, because total mechanical energy must be conserved.'
 'Equal to the blockâs gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.'
 'Less than the blockâs gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.'
 'Less than the blockâs gravitational potential energy when it was released, because the work done by the friction force must be greater than the blockâs gain in kinetic energy.']",2,0.564323228878507,0.001398723767022,0.3878501612510774,0.046319369710299,,,,,,3.2894830075583675e-05,,,,,,,,8.317115540376395e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?",high_school_physics,"['The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).']",0,0.0045090403411817,0.97371271874824,0.0202081168147878,0.001463871072183,6.779071204161942e-06,,9.863490401141098e-06,,,,5.279545962298132e-06,,,,,,,,1.6262146427707868e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much work is required to charge a 10 ÂµF capacitor to a potential difference of 100 V ?,high_school_physics,['0.005 J' '0.01 J' '0.05 J' '0.1 J'],2,0.0309735097235318,0.6222065158059261,0.2938684431499015,0.0510666843094241,0.0005672994839581,0.0001434358406197,8.699823503752876e-05,,,9.858191545231988e-05,,0.0001265816850665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is Î¼, how far does the box slide before coming to rest?",high_school_physics,['v0^2/(2Î¼g)' 'v0^2/(Î¼g)' '2v0^2/(Î¼g)' 'mv0^2/(Î¼g)'],0,0.0007961050720261,0.9893143180897136,0.0096985452320433,0.0001567623833712,2.5338279352486165e-06,,,,1.74147277419744e-06,3.686697891906501e-06,,,,,,,,,3.686697891906501e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30Â°. Calculate its total flight time, assuming that air resistance is negligible.",high_school_physics,['0.5 s' '1 s' '2 s' '4 s'],1,0.9388961913675689,0.0018117686303339,0.0250106944654337,0.0321143673826283,0.0001487190255277,7.02498934155617e-05,,,,,,,,,,,,,,0.001098893222603,0.0001685207337184,,,,,,,,,,,,,,,,,,,,,,,,,,
