question,subject,choices,answer,b,c,d,a,e,',**,f,'},?,cd,none,ad,da,output,sol,.,Unnamed: 21,all,ab,bd,i,bc,0,the,[,ac,g,1,it,3,sample,}',db,dc,z,p,ii,__,},df,}},solution,Ð°,there,too,an,2,4,cb
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?",high_school_statistics,"['P(t > 1.54) with df = 6' '2P(t > 1.54) with df = 6'
 'P(t > 1.54) with df = 7' '2P(t > 1.54) with df = 7']",1,0.9372225771751974,0.0249735367381484,0.0220390688179986,0.0151472157131468,0.0005183092193647,1.2189464495847525e-05,8.377688262199206e-06,6.5245501789288585e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?",high_school_statistics,"['0 to 31.7 minutes' '31.7 to 39.3 minutes' '25.3 to 44.7 minutes'
 '25.3 to 35 minutes']",2,0.3254197027007711,0.4179789491905982,0.1197152041045713,0.1357006217268006,0.0008066347002413,,,,5.156643116154002e-05,3.1276621511434965e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of the following statements are true for all discrete random variables except for which one?,high_school_statistics,"['The possible outcomes must all be numerical.'
 'The possible outcomes must be mutually exclusive.'
 'The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.'
 'Approximately 95% of the outcomes will be within two standard deviations of the mean.']",3,0.0022720119042865,0.2317515699680062,0.7138450480301771,0.051730421676105,0.0001131168120113,,,,,,8.8095461772953e-05,1.5308695792373983e-05,1.5308695792373983e-05,1.1922424270902778e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a true statement about hypothesis testing?,high_school_statistics,"['If there is sufficient evidence to reject a null hypothesis at the 10% level, then there is sufficient evidence to reject it at the 5% level.'
 'Whether to use a one- or a two-sided test is typically decided after the data are gathered.'
 'If a hypothesis test is conducted at the 1% level, there is a 1% chance of rejecting the null hypothesis.'
 'The power of a test concerns its ability to detect an alternative hypothesis.']",3,0.0027751231194314,0.0003755720733847,0.5288636190590339,0.4667205057092767,4.48556875224235e-05,,,,,,,,0.0007016610078254,,0.0003070583344809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An outlier is an observation that,high_school_statistics,"['is seen more frequently than the other observations in the data set'
 'is seen less frequently than the other observations in the data set'
 'is always smaller than the other observations in the data set'
 'is significantly different from the other observations in the data set']",3,0.0001583117864284,0.0001397096611657,0.999078059159121,8.473819295509003e-05,8.473819295509003e-05,,,,1.6685939528563012e-05,,,,,,3.117343907019637e-05,1.6685939528563012e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?",high_school_statistics,"['95 percent of the students in her school are from families whose income is between $35,095 and $45,005.'
 'There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.'
 'If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).'
 'There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']",3,0.0006226998825471,0.005213802282436,0.9936247276314328,0.0003333072286707,9.54941198423564e-05,,,7.838634695850252e-06,,,,,,,2.735952340677697e-05,,1.1405146184790474e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",high_school_statistics,"['The probability of a Type I error and the probability of a Type II error would both decrease.'
 'The probability of a Type I error and the power would both increase.'
 'The probability of a Type II error and the power would both increase.'
 'The probability of a Type I error would stay the same and the power would increase.']",3,0.2240097422653221,0.6901422594480136,0.0824085886253942,0.0024885237480131,0.0005552647024273,,,,,7.51468699414696e-05,2.764498851985089e-05,,,,,,4.557888060093902e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?",high_school_statistics,"['It cannot be determined, because the mean heights for the two groups are different.'
 'It cannot be determined, because the standard deviations of the heights for the two groups are different.'
 'The man, because he is 74 inches tall and the woman is only 70 inches tall.'
 'The woman, because her height is 1.33 standard deviations above the mean height of all women, whereas the manâs height is only one standard deviation above the mean height of all men.']",3,0.0019105319031338,0.0066684115731095,0.9897543311336564,0.0010226340357025,0.0002281806049645,,,,,,,,,,3.965184354359114e-05,,3.088088680197361e-05,2.7252286951807225e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not true about t-distributions?,high_school_statistics,"['There are different t-distributions for different values of df (degrees of freedom).'
 't-distributions are bell-shaped and symmetric.'
 't-distributions always have mean 0 and standard deviation 1.'
 't-distributions are more spread out than the normal distribution.']",2,0.000801969944551,0.996606793767939,0.0010297497922232,0.0013222249060435,5.809453563367693e-05,,,3.7138594108578255e-06,,,,,,,,0.0001085348813465,,5.403633557897148e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,"['This study was an observational study.'
 'Lack of blocking makes this a poorly designed study.'
 'The placebo effect is irrelevant in this type of study.'
 'This study was an experiment in which the subjects were used as their own controls.']",3,0.007533117358383,0.0014833587585489,0.9867191024332402,0.0035583926779728,0.0005456971911517,,,3.953015309185717e-05,8.82036939007804e-06,,,,,,1.454233062885398e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
