question,subject,choices,answer,a,d,b,c,e,ad,f,output,bc,ab,sol,?,none,the,cd,'},**,women,}',}},ac,Unnamed: 25,.,1,2,solution,bd,cod,analy,[,legal,l,h,histor,interpret,inter,},all,m
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,jurisprudence,"['It demonstrates the difference between the internal and the external aspect of a rule.'
 ""It refutes the natural lawyer' view of the role of morality in law.""
 'It explains the nature of power-conferring rules.'
 'It illuminates the concept of a rule.']",3,0.8557694157291426,0.1312309503988425,0.0083893139831215,0.0044904761868999,4.9884660628465823e-05,1.4292194559798124e-05,4.639996227804044e-06,3.613632695662154e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,jurisprudence,"['It is misinterpreted as a prediction.'
 'His concept of status is misrepresented.' 'It is taken literally.'
 'His idea is considered inapplicable to Western legal systems.']",0,0.0992016848201228,0.0043586178412719,0.5038033842851073,0.3924036567982766,3.3278457882115126e-05,,,,2.936813600375851e-05,2.287192731707465e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,jurisprudence,"['Depression of the 1930' 'The rise of Fascism'
 'The international recognition of human rights after World War II'
 'The Bolshevik Revolution']",2,0.0013069305091012,0.0011103107277866,0.0472116022456428,0.9484656907519234,,,,0.000594306506255,,,0.0003604651173103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,jurisprudence,"['There is no distinction between the two forms of legal reasoning.'
 'Judges are appointed to interpret the law, not to make it.'
 'It is misleading to pigeon-hole judges in this way.'
 'Judicial reasoning is always formal.']",2,0.2210668430946723,0.0493026216054533,0.3642997934391229,0.3643652071926673,0.0001569194372634,,,,,,,0.0001222089806198,0.0001732628004095,,,,,,,,,,,,,,,,,,,,,,,,,,
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,jurisprudence,"['The POP will choose wealth over a compassionate society.'
 'The POP will choose equality over power.' 'The POP will be unselfish.'
 'The POP will choose to protect the disabled.']",0,0.0085003192452847,0.0027596496163153,0.9825768109786792,0.0035434602485015,0.0005434072289252,,,0.0004232059754136,,,,0.0003734779624578,0.0002501187948054,,,,,,,,,,,,,,,,,,,,,,,,,,
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,jurisprudence,['Law and Economics' 'Critical Legal Studies' 'Historical' 'Natural Law'],0,0.99848436730562,0.0001087403297905,0.0011690687194363,0.0001792824947086,3.7208894700222807e-06,2.557327440312536e-06,,,,,2.897831632975497e-06,,,4.216320146988391e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,jurisprudence,"['All commands include some sanction.'
 'The concept of a command contains the likelihood that a sanction will follow failure to obey the command.'
 'Without a sanction the mere expression of a wish is not a command.'
 ""A command confers power to change one's legal status.""]",3,0.3475129025410903,0.4461924451817344,0.1448574782449052,0.0603855809467068,0.0008613540513546,,1.5776249759959682e-05,,,1.7876833010694206e-05,,,1.3922491547565389e-05,,1.5776249759959682e-05,,,,,,,,,,,,,,,,,,,,,,,,
How does Weber solve the 'England problem'?,jurisprudence,"['By denying its existence.'
 'By explaining the difference between the common law and civil law.'
 'By distinguishing certain features of the English legal system that facilitated the development of capitalism.'
 'By recognizing the importance of legitimate domination.']",2,0.0050532193682734,0.0012776539425869,0.0290792696991101,0.9631461314404188,9.255298530754527e-05,,,0.0001346637990197,,,0.0001346637990197,8.167772285886627e-05,,,,0.0001048762721279,,,,,,,,,,,,,,,,,,,,,,,
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,jurisprudence,"['It is a sin for humans not to apply reason.'
 'The principles of natural law are discoverable by reason.'
 'Natural law does not apply without good reason.'
 'The law of nature is the basis of all positive law.']",1,0.0003344509631638,0.0011673485638951,0.9970706090179812,0.0007080326945739,6.585729943024152e-05,,,0.0001230376334279,,,,,,,,,1.8868432195022063e-05,,,,,,,,,,,,,,,,,,,,,,
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",jurisprudence,"['Women can achieve equality through political pressure.'
 'Equality is impossible because men define women as different.'
 ""The idea of 'woman' needs to be redefined.""
 'The world is phallocentric and oppressive.']",0,0.9986400727844302,0.0003795759748834,0.0006258149836371,0.0001792989092626,2.426546866907151e-05,,,,,,6.9521731717496406e-06,,,,,,,4.414584794241791e-05,,,,,,,,,,,,,,,,,,,,,
