question,subject,choices,answer,a,d,b,c,Ð°,ad,sol,solution,e,the,output,choice,none,4,law,school,Unnamed: 20,.,input,john,cho,Ñ,aa,ab,1,st,2,ca,ac,band,(,correct,3,bb,analy,letter,command,legal,s,'},bd,f,sal,care,h,interpret,inter,interpre,loc,author,cor,p,g,hol,j,ba,r,?
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,jurisprudence,"['It demonstrates the difference between the internal and the external aspect of a rule.'
 ""It refutes the natural lawyer' view of the role of morality in law.""
 'It explains the nature of power-conferring rules.'
 'It illuminates the concept of a rule.']",3,0.9997659318969296,0.0001584240027492,2.4295107689047123e-05,1.6697767041754202e-05,5.420971269480434e-06,4.783990354316565e-06,3.725775434147788e-06,3.2879852803611995e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,jurisprudence,"['It is misinterpreted as a prediction.'
 'His concept of status is misrepresented.' 'It is taken literally.'
 'His idea is considered inapplicable to Western legal systems.']",0,0.0003791367710629,4.528140835524029e-05,0.0019254153958608,0.9974064874200084,,,0.0001606022470073,4.772625327711452e-06,6.128172225109165e-06,3.7169243425280983e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,jurisprudence,"['Depression of the 1930' 'The rise of Fascism'
 'The international recognition of human rights after World War II'
 'The Bolshevik Revolution']",2,5.80873336554759e-05,0.0004292105670176,0.0024699362775294,0.9965826748203604,,,5.126189203035541e-05,,1.885819619351796e-05,,2.743851355675428e-05,2.136913584431559e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,jurisprudence,"['There is no distinction between the two forms of legal reasoning.'
 'Judges are appointed to interpret the law, not to make it.'
 'It is misleading to pigeon-hole judges in this way.'
 'Judicial reasoning is always formal.']",2,0.0007095089394094,0.999064698905888,0.0001397105938314,5.824004031507077e-05,,3.723161213934898e-06,3.2856782391206494e-06,,,,2.2582114273044227e-06,,1.7586968279254792e-06,1.7586968279254792e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,jurisprudence,"['The POP will choose wealth over a compassionate society.'
 'The POP will choose equality over power.' 'The POP will be unselfish.'
 'The POP will choose to protect the disabled.']",0,3.5337544516417264e-05,6.601922468837775e-05,0.999454539112451,1.669227408555217e-05,,,5.8261761298529815e-05,1.8914824558210917e-05,5.1415823885075616e-05,,9.605740512133962e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,jurisprudence,['Law and Economics' 'Critical Legal Studies' 'Historical' 'Natural Law'],0,0.9998436218640536,1.3005263438135526e-05,2.4297030843637785e-05,,,,6.961215886162216e-06,1.7600710109668347e-06,,1.5532572155071692e-06,,2.901866513723699e-06,,,8.480497049232428e-05,3.726070359456276e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,jurisprudence,"['All commands include some sanction.'
 'The concept of a command contains the likelihood that a sanction will follow failure to obey the command.'
 'Without a sanction the mere expression of a wish is not a command.'
 ""A command confers power to change one's legal status.""]",3,3.119782663737022e-05,7.88804587697924e-06,4.784341669607736e-06,0.9998577488356148,,,1.8922438371964528e-05,,,,2.7531985374850405e-05,,,,,,1.8922438371964528e-05,5.421369361859164e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Weber solve the 'England problem'?,jurisprudence,"['By denying its existence.'
 'By explaining the difference between the common law and civil law.'
 'By distinguishing certain features of the English legal system that facilitated the development of capitalism.'
 'By recognizing the importance of legitimate domination.']",2,0.0001086898382239,3.52864241561756e-05,0.0017001943181727,0.9980092242285192,,,3.114016002111121e-05,,,,3.998475694683027e-05,,,,,,,,7.873465473032884e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,jurisprudence,"['It is a sin for humans not to apply reason.'
 'The principles of natural law are discoverable by reason.'
 'Natural law does not apply without good reason.'
 'The law of nature is the basis of all positive law.']",1,1.300269631488867e-05,3.5344993113733264e-05,0.9996506524596954,1.891881150505074e-05,,,0.0001584052693289,,8.936613772597866e-06,,1.891881150505074e-05,,,,,,,1.0126510072074966e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",jurisprudence,"['Women can achieve equality through political pressure.'
 'Equality is impossible because men define women as different.'
 ""The idea of 'woman' needs to be redefined.""
 'The world is phallocentric and oppressive.']",0,0.9982532800832882,0.0001792361658986,0.0001792361658986,0.0002607870825716,,,,,4.531799973940495e-05,1.4712600431142867e-05,,,0.0009949010928284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
