question,subject,choices,answer,a,b,c,d,ab,','},e,{',4,china,richard,both,Unnamed: 17,1,'.,bc,all,''',cd,f,none,isolation,i,the,george,g,solution,3,ideal,auto,...',s,real,bcd,bd,dc,abc,ad,sol,db,thomas,jefferson
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9995070867878314,0.0003352700900773,9.605648905090617e-05,2.9295573983408908e-05,1.815183284884548e-06,1.3701722282993513e-06,1.3280164606242398e-06,1.2091727474816106e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9997313488355238,0.0002165261021176,1.6696700152324516e-05,1.4734786167810129e-05,,9.419633650462804e-07,1.287511266540999e-06,7.568888274027955e-07,7.809150578825604e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,1.4738383966880963e-05,2.1444222137158355e-05,1.3845430423248672e-05,0.9999482261378256,,,6.023240664496586e-08,2.1023175634423442e-07,,3.466135684613859e-07,1.586912552843319e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9998525171915876,0.0001088895568031,8.396661011675877e-06,7.887933038384934e-06,,1.2480522402124265e-06,2.2429387202806843e-06,,,,,3.088958960681359e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.0757399466617897,0.0013020857711966,0.0007419061087543,0.9220225133445756,,7.273388090974482e-06,2.2403612546539352e-05,1.4464859427334568e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,2.14403777306711e-05,7.966066726115795e-05,0.0001088832224317,0.9997837342155088,,,,1.873439327368018e-06,2.168663430353575e-07,,,,6.474433070524143e-07,2.101940671092159e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9998595659700222,0.0001022918818515,1.147683106921374e-05,1.5686968149843567e-05,,4.180435411374895e-07,,5.36778532102684e-07,4.313136676161848e-07,,,,,,3.255726371958199e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.999885761421568,8.480691154627209e-05,1.147736739453709e-05,7.888271559010418e-06,,4.450258287168109e-07,1.0028811862217203e-06,4.887652547328491e-07,2.61617188458753e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,2.143592071800433e-05,4.263041872689055e-05,0.000357209794093,0.999574462402748,,,6.678565013112913e-07,6.080902643589492e-07,,,,,,3.574778249375767e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,3.551274622103539e-05,3.3212067313625614e-05,1.777713859436011e-05,0.9999093097149933,,,,5.538636637605832e-07,,2.6993159152290773e-07,,,,,,1.9141016038406034e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
