question,subject,choices,answer,b,a,c,d,e,f,p,h,(c,ÃÂÃÂ,.c,ÃÂÃÂ±,<|end|>,.b,.d,_d,ÃÂÃÂ­d,du,-d,(d,_c,-c,ci,bi,ab,_b,ÃÂÃÂ°,aa,.a,_a,4,(a,g,ÃÂÃÂ´,-a,(b,none,n,no,not,t,l,s,bc,both,ÃÂÃÂ¡,dor,da,an,2,-b,1,reg,horizontal,effect,impact,effects,situation,equilibrium,scenario,combination,combined,given,impacts
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9999989604499712,7.338208342121101e-07,2.382367444259241e-07,6.023562193083734e-08,6.3487878425118835e-09,4.599046487735704e-10,2.789462700255406e-10,1.6918946518296952e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,4.222834419020411e-06,5.211391683417963e-10,0.999995766073492,1.046736000784846e-08,9.544996818123593e-12,,,,4.8473493550982145e-11,3.3315312423133356e-11,1.2256018516674307e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9999999999998606,,8.258073285229319e-14,1.8426252146506875e-14,,9.862862046190382e-15,5.2792096281295936e-15,,,,,1.1176086870452144e-14,8.703945206382175e-15,3.6283441779035455e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,1.0060392792073294e-12,,4.193795658062781e-13,0.999999999997526,,,,,,,,,8.258073284932176e-14,,4.193795658062781e-13,4.193795658062781e-13,8.258073284932176e-14,4.4202281033073066e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,6.101936676925942e-13,,3.701011678180606e-13,0.9999999999987138,,,,,,,,,,,1.0603575990343257e-13,1.7482341280764114e-13,1.117608686964982e-14,,8.703945205757326e-15,5.279209627750604e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,5.3157539525450186e-08,4.785094000166731e-06,7.194090667838234e-09,0.9999951523268802,6.691546688041743e-10,,,,,,,,,,7.582515778178944e-10,5.211381800605772e-10,,2.789451667150115e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,2.8823507929204873e-13,,6.91440010568343e-13,0.9999999999984768,,,,,,,,,1.1176086868862764e-14,,1.7482341279532949e-13,3.266131342193789e-13,1.2664165546792311e-14,,1.8426252143886443e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,5.384940217480266e-13,,0.9999999999993718,3.900837609982397e-14,,,,,,1.8426252146298843e-14,5.982128223463005e-15,,9.862862046079028e-15,,,,,,,,9.862862046079028e-15,6.7786393424645065e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,5.384940217344015e-13,3.0379753852118095e-14,2.543665647183241e-13,0.9999999999988948,,,,,,,,,,,1.542811203074414e-13,1.0603575990716465e-13,,,1.2664165548129892e-14,8.70394520606367e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.9999999999986704,6.431393940814768e-14,1.1399918529314032e-12,4.420228103203209e-14,,4.420228103203209e-14,1.43503795999164e-14,,,,,9.862862045603224e-15,,1.2664165547839391e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
