question,subject,choices,answer,b,c,a,f,d,ÃÂÃÂ±,bi,p,ÃÂÃÂ°,<|end|>,aa,.a,e,(a,ÃÂÃÂ,_c,-c,(c,_a,.c,.b,_d,.d,ÃÂÃÂ­d,-a,ci,_b,j,(b,-d,ÃÂÃÂ´,g,civil,h,(d
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9999999999989122,6.101936677292298e-13,3.2661313426198973e-13,9.357622968360137e-14,3.4424771082933805e-14,8.703945206279904e-15,7.681204684808055e-15,6.778639342461391e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,1.8795288158700456e-12,,0.9999999998785348,,,,,,1.1628233026081779e-10,1.463778513604862e-12,7.835041782275428e-13,4.75219306107956e-13,3.266131341624834e-13,2.5436656464714786e-13,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,4.752193062567022e-13,0.9999999999988076,,,5.6756852323889243e-14,,,,,,,,,,5.384940217522726e-13,5.6756852323889243e-14,4.420228103451302e-14,2.0879679115562452e-14,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,6.431393940852136e-14,,0.999999999976404,,,,,,2.2897348454319863e-11,1.7482341281079974e-13,1.981008797864209e-13,1.060357599053484e-13,,7.287724095139959e-14,,,,,8.25807328478568e-14,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,3.26613134273572e-13,0.9999999999995172,,,1.2664165548893604e-14,,,,,,,,,,1.0603575991355915e-13,1.2664165548893604e-14,1.1176086870717147e-14,6.778639342701772e-15,,6.778639342701772e-15,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9999999999998598,8.258073285205777e-14,2.3659776090344443e-14,1.266416554855721e-14,7.681204684876411e-15,5.9821282235134906e-15,3.202002498501601e-15,,,,,,,,,,,,,,4.111452592373707e-15,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,1.3887943853374938e-11,2.940077736831064e-11,5.10908902379994e-12,,0.9999999999477768,,,,,,,,1.1399918520930656e-12,,,,,,,,,1.2917800037080437e-12,7.835041778526277e-13,6.10193667251344e-13,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,3.2661313426953053e-13,0.9999999999994076,,,1.842625214671579e-14,,,,,,,,,,1.7482341282217365e-13,2.3659776090680132e-14,3.4424771083728585e-14,1.4350379600933413e-14,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.9999999999999284,2.0879679115619212e-14,,2.681003867673929e-14,1.1176086870444468e-14,4.111452592382604e-15,2.493722053235038e-15,2.8257572870019133e-15,,,,,,,,,,,,,3.2020024985085298e-15,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,1.542811203033988e-13,,0.9999999999698332,,,,,,2.940077738983569e-11,8.258073284710747e-14,1.9810087978462325e-13,1.542811203033988e-13,,,,,,,1.2015425730542062e-13,,,,,,5.675685232051843e-14,,,,,,,,,,
The UN Vienna Declaration 1993 declared that,international_law,"['Third generation rights are of primary importance'
 'Civil and political rights are core rights'
 'All types of rights are indivisible, interrelated and interdependent'
 'Social and economic rights are non-enforceable']",2,4.752193062676883e-13,0.9999999999994116,,,9.862862046384804e-15,,,,,,,,,,8.258073285392107e-14,7.681204685049724e-15,4.65888614501098e-15,4.111452592466475e-15,,,,,,,,4.111452592466475e-15,,,,,,,,,
What is the principal source of immunity in respect of international organisations (IOs)?,international_law,"['The principal source of immunity for IOs is the UN Charter'
 'The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities'
 'The principal source of immunity for IOs is customary law'
 'The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities']",1,0.9999999999999016,6.431393941025478e-14,7.681204684692687e-15,7.681204684692687e-15,6.778639342359581e-15,5.279209627988274e-15,,2.8257572869282104e-15,,,,,,,,,,,,,3.202002498425014e-15,,,,,,,,,,,,,,
Is there any hierarchy or priority among States under international law?,international_law,"['Yes, the States that were the founding members of the United Nations are vested with more powers and authority'
 'Yes, the Permanent Five Members of the UN Security Council (UK, USA, France, Russia, China) are in a superior position than the other States'
 'No, all States are considered equal as sovereign States (the principle of sovereign equality, enshrined in article 2, para 1 UN Charter)'
 'Whether there will be any hierarchy among States is a matter of each international organization to decide']",2,1.2917800047073346e-12,0.9999999999985426,,,1.8426252146113577e-14,,,,,,,,,,7.287724095375914e-14,2.6810038676185464e-14,1.8426252146113577e-14,1.4350379600464407e-14,,1.4350379600464407e-14,,,,,,,,,,,,,,,
What is the declaratory theory of recognition?,international_law,"['Recognition is determinate for the existence of statehood'
 'Recognition is simply declaratory of statehood but not determinate'
 'Recognition is merely a declaration of interest'
 'Recognition requires a declaration by the newly-created State']",1,0.99999999999984,7.287724095062363e-14,3.900837609775345e-14,8.70394520582191e-15,1.1176086869732748e-14,1.4350379599846987e-14,,5.982128223145481e-15,,,,,,,,,,,,,7.681204684403875e-15,,,,,,,,,,,,,,
