question,subject,choices,answer,d,b,c,<|end|>,a,Ã¢ÂÂ,ÃÂ´,Ã¢ÂÂÃ¢ÂÂ,ÃÂ±,bb,ÃÂ°,ai,aa,an,solution,ab,ap,pres,ÃÂ,cc,am,e,st,v,...,co,s,brown,t,option,f,Unnamed: 35,ÃÂ­a,white,ci,four,Ã¯Â»Â¿,state,ch,Ã¢ÂÂ,**,free,campaign,none,g,i,polit,political,bi,ÃÂ,ÃÂ ,economic,51,ways,rules,affirm,john,j
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.9999999983282506,6.691586048510886e-10,6.691586048510886e-10,1.4930946666512328e-10,9.056076931773868e-11,5.492788315837165e-11,2.289734831006393e-11,1.5737102006249527e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,1.3615261077556278e-13,0.9999999999860992,2.54366564675288e-13,1.0815941554632196e-11,7.835041783142203e-13,3.266131341986161e-13,,,1.4637785137667972e-12,1.2015425728824024e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,1.2015425723448597e-13,0.9999999999922512,1.463778513111937e-12,2.4133627701614564e-12,2.4133627701614564e-12,1.9810087966767173e-13,,,1.139991852254673e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,8.258073283863729e-14,7.433680670828924e-12,1.1399918528107552e-12,1.0060392790771656e-12,0.9999999998995348,,,,,,9.056076987817152e-11,1.3615261078106585e-13,1.0603575989351029e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,,4.4202281036119887e-14,,8.258073285501399e-14,0.9999999999963304,,,,,,3.511422113353328e-12,1.1176086870820362e-14,,1.2664165549010561e-14,3.2020024986162255e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,,6.101936677557799e-13,,7.287724095762933e-14,0.9999999999953268,,,,,,3.97896253580625e-12,3.202002498612429e-15,,2.825757287093604e-15,,2.825757287093604e-15,2.200701987958227e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,3.098819136932261e-12,0.9999999999520658,5.789356325387305e-12,8.423463749604106e-12,2.5946094967780823e-11,1.6586783579563462e-12,,,2.129785169725837e-12,,,,,,,,,8.878265473332469e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.9999999999509565,1.7832472906808243e-11,1.3887943863921872e-11,9.545034922124367e-12,5.78935632829622e-12,1.2917800046890613e-12,3.2661313425423577e-13,3.701011678314949e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,6.691586065713285e-10,0.9999999984517512,1.0261879592474464e-10,1.0261879592474464e-10,5.905303976370212e-10,3.775134529848135e-11,,1.2256067397249004e-11,3.3315445294311316e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,1.1176086870865278e-14,2.08796791164054e-14,0.999999999997526,2.681003867774877e-14,4.3334391507631006e-16,5.564246011249562e-16,,,,,,,,,,,,,2.413362771826979e-12,5.923109047030961e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
