question,subject,choices,answer,c,b,с,d,a,<|end|>,​,​​,а,an,solution,ap,б,all,д,t,mechan,e,none,not,normalized,ai,al,ab,aa,­a,ɑ,aff,adapt,ad,support,,ch,r,bb,institution,aggregate,s,cont,social,g,‌,bc,sc,functional,class,participant,...,30,​​​​,v,ci,modern,occupation,﻿,acc,ac,the,co,tri,car,2,st,w,glass,organized,m,n,conf,cc,ex
Mass-society theory suggests that:,sociology,"['the content of the media is determined by market forces'
 'the subordinate classes are dominated by the ideology of the ruling class'
 ""the media manipulate 'the masses' as vulnerable, passive consumers""
 'audiences make selective interpretations of media messages']",2,0.9999999934964171,3.3982677938993538e-09,2.335593021207675e-09,6.691586040891826e-10,5.4927883095830597e-11,2.5946094787338953e-11,1.2256067351786913e-11,7.433680616361783e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to urban sociology involved studying:,sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",1.5428112029722325e-13,,1.1399918528820509e-12,,,0.9999999999420549,1.291780004602081e-12,,,5.4927883501726566e-11,1.7482341280221547e-13,1.3615261078958085e-13,1.201542573006111e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker proclaimed that cannabis use was:,sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,3.5114221075240833e-12,0.9999999999649661,,4.508755234780158e-12,2.020683905654377e-11,4.508755234780158e-12,1.006039277606568e-12,,,,,,1.291780002633008e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The middle classes that developed over the nineteenth century were:,sociology,"['an urban set, involved in civic bodies and voluntary associations'
 'too diverse to have a strong sense of class consciousness'
 ""often involved in 'white collar' work"" 'all of the above']",3,1.0815941556855932e-11,2.1297851708711603e-12,,0.9999999999654662,1.5737102106237604e-11,5.109089027860321e-12,6.84618321352152e-14,,,,,,,4.752193062582329e-13,1.9810087979702662e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technological forms of surveillance have made it easier to:,sociology,"[""access and exchange 'private' information about consumers""
 'reduce prison overcrowding by the use of electronic tagging'
 ""monitor employees' activities at work"" 'all of the above']",3,1.1399918530370016e-12,1.5428112031819357e-13,,0.9999999999970676,6.914400106895601e-13,8.878265478402388e-13,5.982128223728547e-15,,,,,,,,3.4424771084477706e-14,1.8426252147116765e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,sociology,['organic solidarity' 'mechanical solidarity' 'gesellschaft' 'anomie'],1,2.5946094968443793e-11,0.9999999997030482,,3.978962533641062e-12,2.172439933879945e-10,2.940077737661705e-11,1.2917800040730018e-12,,,,,,9.545034917572273e-12,,,,9.545034917572273e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a growth in income inequality in the 1980s because:,sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,4.9444504285500925e-09,7.1941329235456704e-09,,0.9999999868892657,3.160881407397961e-10,4.59905531039033e-10,1.026187947938881e-10,3.1296964158032025e-11,,,,,,,6.22414453052523e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a deviant act is 'normalized', it is:",sociology,"['recognised as breaking an important norm of behaviour'
 ""seen a temporary aberration from an otherwise 'normal' character""
 'the first step in establishing a deviant career'
 ""attributed to the person's genetic or anatomical make up""]",1,0.8242699879132641,0.16230819966666696,,0.0015912132807746066,0.011757564197007058,,,,,,,,,,,,,4.8050501571480905e-05,2.274127727156664e-05,1.3630878088964213e-06,8.800756352057985e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,4.2777876952779705e-11,0.9999999633213679,,7.991959568456373e-11,3.653482065378702e-08,1.0815941118126001e-11,4.508755059225829e-12,,,,,,5.789356093665408e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marxist feminists explain patriarchy in terms of:,sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,7.433680667676771e-12,0.9999999999017358,,1.5737102096965045e-11,2.289734844205423e-11,2.9400777374353097e-11,1.2256067436391024e-11,3.9789625333346695e-12,,,,,6.560200164027738e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':,sociology,"['the democratization of the family' 'putting an end to privatization'
 ""positive welfare: 'a hand up, not a hand-out'""
 'the strengthening of civil society']",1,6.560200149394271e-12,0.999999999903262,,1.2256067409052107e-11,3.775134533483746e-11,2.5946094908569374e-11,4.508755229401616e-12,1.2917800010920298e-12,,,,,8.423463730380962e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-psychiatrists like Laing & Esterson believed that:,sociology,"['Psychiatry was an out-moded form of treatment and should be replaced by alternative therapies like aromatherapy and kinesiology'
 ""Mental illnesses were biological in origin, so there was no point in studying 'the mind' as experienced by the patient""
 'Psychiatrists were agents of capitalism who tried to instill ruling class ideology into their patients'
 'Behaviour that seemed bizarre could be seen as a reasonable response to disturbed patterns of family interaction']",3,7.052879850577716e-11,1.5428112030749785e-13,,0.9999999999278169,2.6810038675786458e-14,1.2917800046881093e-12,8.25807328493015e-14,1.6261110444945975e-14,,,,,,,8.25807328493015e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:,sociology,"['socialization into working class families and communities'
 'rational calculation of self-interest'
 'issue-based concerns about culture and lifestyle'
 'false consciousness and the acceptance of hegemonic values']",0,,1.2917800046550162e-12,,4.420228103192984e-14,0.9999999999427932,7.835041784269956e-13,1.2015425730553485e-13,,5.492788350397743e-11,3.90083760978519e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
