question,subject,choices,answer,a,b,d,c,choice,Ð°,1,option,e,bd,cd,ad,ac,4,none,2,abcd,less,i,ab,iv,bcd,bc,abc,band,ba,k,3,Ñ,y,v,dv,g,cb,ca,wrong,sol,f,h,s,aa,the,ii,unc,t,36,15,099,05,0,12,11,all,and,Unnamed: 58,or,db,no
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.99994534146936,2.7534873746555364e-05,1.1478243081581806e-05,6.961906348613784e-06,1.370880641720254e-06,8.85107066235205e-07,6.083245972055873e-07,3.058848171314225e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,0.0197838904443927,0.0782035514131396,0.8407674876111322,0.0609181785517582,,,,,3.817079057201686e-05,2.043135188927695e-05,1.16414333925437e-05,1.16414333925437e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.9969423947866136,0.0002028448972429,1.8867514506041305e-05,0.0028001860970221,7.865150203301933e-06,,1.6486250442658572e-06,1.366758166657847e-06,,,,,6.125385137305764e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,0.0003007647742577,6.597453762341496e-05,0.9987613077690763,0.0008051036640023,,,,,1.567032621575764e-05,,,,,3.085670186141036e-06,1.7581618748474325e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,0.0003011770455652,0.0004281408977977,0.0052158239017515,0.9939737937170984,,,,,1.0718302762415244e-05,,3.0708451556317933e-06,,,,4.197347670187287e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,0.000265309806124,0.000123330034187,0.999365658315072,0.0002033368506803,,,,,6.957804413702961e-06,,,1.5524960131109935e-06,,4.220121701194729e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,2.566968493472205e-05,0.9999216587157714,2.144364952229477e-05,1.4737990414824348e-05,,,6.475421065985521e-07,5.714539033663261e-07,,,,,,,,2.5610787129188887e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,0.0002329047156062,4.002809886735614e-05,0.9990776576656984,0.0006276028390006,,,,,4.7806746618020615e-06,,,,,1.6521569541978476e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,0.0004864573996489,0.0002950511868397,0.9966650760890678,0.0024704345191543,,,,,,7.386461931697817e-06,6.123592021708537e-06,,,8.909773818210436e-06,,,1.2963644411686216e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,0.9995383481180504,0.000295905856154,2.428943179520658e-05,0.000123351912831,,1.067203152536273e-06,2.259269091648389e-06,1.1360318424145338e-06,,,,,,,,,,1.067203152536273e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
