question,subject,choices,answer,d,c,b,a,e,4,g,2,bd,3,1,Ð°,ac,sol,choice,option,bs,Ñ,ad,f,i,st,bc,bcd,cd,brown,r,p,abc,dc,none,band,gr,s,free,ab,the,wrong,not,an,db,first,51,50,rules,john
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.9998887946453844,3.535348845277831e-05,2.753332449132962e-05,2.8104760410608887e-05,6.961514635548708e-06,3.966551473448605e-06,5.368143671317704e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,0.0004304472851719,8.476009601030678e-05,0.999363513781414,7.770085318525751e-05,2.5595331181357627e-06,,,3.964282443726168e-06,1.4583780100437422e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,5.827159673455109e-05,0.0002044551388057,0.9996304381429524,8.704410796733763e-05,,,,5.420102805754035e-06,,1.0672815232599795e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,5.82750978836136e-05,0.0001397946925665,0.00010887221604,0.9996756224462052,,,,,,,1.4588885294572457e-06,1.4588885294572457e-06,1.0026784452470922e-06,7.808867583272542e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,1.3708061234471025e-06,0,2.9019965861102723e-06,1.1477619147719716e-05,7.484347839431775e-05,0.999896440914212,,,,,,,1.7601499038572731e-06,,,,3.202217565679431e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,2.75282046916395e-05,3.119354256203825e-05,0.0001795064435016,0.9997216733345082,,,,,,,8.937099575086464e-06,1.6531971905104683e-06,,,3.2877751973763425e-06,2.725661372656301e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,5.823431976688028e-05,0.000803899987397,0.9990044447577888,9.857079912661013e-05,1.9926688435825013e-06,,,3.497242733709161e-06,,,,,,,,,1.9926688435825013e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.9992064919713078,0.0002975677394246,0.0002033062140817,0.0002361434753497,1.0122020380099391e-05,1.0122020380099391e-05,,,,,,,,,,2.404190571582128e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,0.9973163063168392,0.0021826122254806,0.0004295848550835,5.130659436505967e-05,6.522901478848508e-06,1.0648343946013076e-06,,,,3.0812004854329365e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,7.495118509889271e-05,0.9999173470022392,2.902074078814e-06,1.7601969055579882e-06,1.9748861950713747e-07,,,,,1.0676133903522226e-06,,,,,,,,5.043048568608267e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
