question,subject,choices,answer,d,c,a,b,dc,e,cd,4,ac,bd,ab,ad,bc,db,bcd,f,abcd,1,abc,s,g,r,choice,а,option,cb,ba,3,199,abd,all,da,dd,ca,cc,none,2,'}
Which of these principles is not an element of the responsibility to protect?,security_studies,"['The responsibility to prevent.' 'The responsibility to react.'
 'The responsibility to remain sovereign.'
 'The responsibility to rebuild.']",2,0.5855348222583768,0.4024318056969599,0.008358519241243667,0.0034817171154050454,2.3459625389407934e-05,1.944871254942339e-05,1.5146672563221596e-05,4.61947413509116e-06,3.829678568671791e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can environmental changes be reconciled with national security interests?,security_studies,"['Environmental challenges to economic growth, such as natural resource management and employment, leads to diversification and research which may in the long-term result in technological advancements that bolster military programs.'
 ""Environmental changes can undermine national security in many ways; including weakening the economic base that determines military capacity. So if the natural capital base of an economy erodes than so does the long-term capacity of its armed forces. Any developments however, will be 'human' in impact.""
 ""The environmental problems encountered by countries are principally internal. External threats remain within a country's control: external military threats will remain unchanged and a primary concern.""
 'All of these options.']",1,0.3336001841326066,0.057971012621834024,0.22927982995703472,0.3780185325926716,,8.715593399144079e-05,,,,0.00014369584223942474,0.000126811135690577,5.990133901533091e-05,5.990133901533091e-05,4.382475581844734e-05,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements could be described as a liberal perspective on future energy security?,security_studies,"['The global economy is interconnected, ensuring that energy security for one is dependent upon energy security for all. Thus all core powers have the same interests in maintaining and extending the conditions under which this market operates. As long as this economic order exists, conflict between major powers over energy reserves is highly unlikely.'
 ""Energy scarcity is likely to lead to future disruptions in the global system and the emergence of a 'new international energy order', characterized less by liberal free-market trading than by statism and neo-mercantilism.""
 'Oil remains the lifeblood of the current order - an order that is based upon an unequal (and deeply unjust) distribution of wealth and power in favour of capitalist economic elites. Those who benefit most from the prevailing order will ensure that the flow of energy under favourable conditions continues to underpin their position in the global system.'
 ""Energy scarcity will signal a return to an era of greater geopolitical confrontation. 'Resource wars', in particular over energy sources, present a clear possibility for a breakdown in international cooperation, as states begin to compete (and eventually conflict) over the control of major reserves.""]",0,0.16788019952439584,0.11538226125440654,0.3136415040943675,0.40272368698954175,,9.285189227662425e-05,,,,1.1804793378715038e-05,6.72616851668915e-06,,9.786517445057956e-06,,8.113307927533502e-06,6.72616851668915e-06,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a common criticism of the human security concept?,security_studies,"['Human security is neo-colonial.'
 'Human security promotes global capitalism.'
 'Human security is too broad.' 'All of these options.']",3,0.8861095832102681,0.01622966628585707,0.08247601354425825,0.0143226302272505,,0.00033683597767407127,,5.4986961788333856e-05,,,,4.2823888899471824e-05,,,,,4.2823888899471824e-05,3.133062641112819e-05,,,,,,,,,,,,,,,,,,,,
In what ways have governments responded to the threat of TNC post-Cold War?,security_studies,"['State responses to transnational crime have evolved in correlation to the increased threat posed to the integrity of the state. Organized crime has been regarded primarily as a national security threat to be addressed domestically. The institutionalized international approaches for information sharing have been predominately bilateral to the extent of bringing to justice perpetrators of crime that are seeking to evade justice.'
 'With the expansion of TNC in the 1990s, states became increasingly willing to take measures to reduce the asymmetries between countries through harmonization of legislation and increasing police capacity and networking. The government response to transnational crime has focused on targeting the individuals and organizations perpetrating the crime, rather than the criminal markets themselves.'
 'The US war on drugs has heavily influenced the construction of the governmental response to the growing perception that the phenomenon of TNC represents a national security threat. The approach has an emphasis on bilateral and multilateral cooperation on law enforcement combined with sticks on a bi-lateral basis to induce states to increase regulation and enforcement against TNC.'
 'The emergence of norms governing the response to address the spectre of organized crime and to harmonize legislation occurred with the evolving Global War on Terror in which the terrorism-organized crime nexus resulted in the militarization of law enforcement: the use of military technology and intelligence as opposed to addressing the underlying conditions that facilitate illicit trade through an international institutionalist response.']",1,0.10691709467422564,0.42286528722358946,0.29063079560458294,0.1762764881908552,,0.00018214607899670875,0.00030030811481649957,,0.00043694572879818396,,0.00034029367574773135,,0.0004951243766618191,,,,,,0.00023388019498178723,,,,,,,,,,,,,,,,,,,
What potential problem for policy in the institutionalization of academe-policy interaction emerged?,security_studies,"['The main disciplinary context for security studies theorizing was a move away from the disciplinary domination of political science toward multi-academe interaction from sociology, mathematics, psychology, natural and political sciences, and economics.'
 'Policy-academe developments have resulted in the modification of the role of think tanks away from policy towards politicization resistant theory.'
 'Security studies has been marked by the gradual ""IR-ification"" of the discipline. Security studies became one of International Relations\' (IR\'s) two pillars, the second being International Political Economy. Henceforth IR became the main disciplinary context in which security studies was deliberated.'
 'Think tanks and policymakers are increasingly interrelated. The institutional blurring between universities, think tank, and policy has resulted in policy mergers at every level.']",2,0.38724482507830715,0.5634378958442641,0.04081530914441209,0.008037010897603244,,7.401831141454806e-05,0.00010117103638302178,,,,,2.722981503963773e-05,,,,1.36920108642379e-05,1.0663348782890659e-05,,,1.8714759940204183e-05,,,,,,,,,,,,,,,,,,
Which of the following is not one of the 10 steps of the Washington Consensus?,security_studies,"['Fiscal Discipline: budget deficits of no more than 2 per cent of gross domestic product (GDP).'
 'Tax Reform: broadening the tax base, cut marginal tax rates, improve tax administration.'
 'Property Rights: legal reforms to secure property rights without excessive costs and to regularize the informal sector.'
 'Nationalization: state enterprises should be protected.']",3,0.9957079343339026,0.001696290346177433,0.001928661122750408,0.0005507048462426527,,2.273030364108199e-05,,5.398920339118268e-06,,,,,,,,3.949934499536828e-06,,,,,1.8658169430990168e-06,,,,,,,,,,,,,,,,,
Which of the following concepts does NOT form part of the technical discourse on cyber-security?,security_studies,"['Business networks' 'Computer experts' 'Anti-virus industry'
 'Computer networks']",0,0.041569603394195784,0.5738506739405622,0.2710678646374114,0.11299789752269185,,9.093318157149794e-05,,,2.4474333798296583e-05,,7.4642500841631475e-06,,1.0860419789020568e-05,,,1.3100166870926833e-05,,,,,,1.3100166870926833e-05,,,,,,,,,,,,,,,,
What are the characteristics and manifestations of the strategy adopted by the USA in pursuit of energy security?,security_studies,"[""The deployment of troops in the Persian Gulf is part of the USA's attempt to secure its dominance in the oil-rich region.""
 'All of these options.'
 'The USA has sought to assert its primacy vis-à-vis friendly and rival powers, through the deployment of troops and other interventions.'
 'The USA has actively sought to stabilize oil-rich friendly political actors and secure the economic and political status quo.']",1,0.052896085271676004,0.003831779565143257,0.004920102352788643,0.9376454571517115,,2.278458329189139e-05,,2.1404135175164438e-05,,0.0002449573554103793,,,4.256720562685385e-05,,0.00010869916754793089,,,,,,,,,,,,,,,,,,,,,,,
In what ways do theories of conventional and critical social constructivism differ?,security_studies,"['Conventional constructivists view constructivism as a bridge between rationalist and reflectivist approaches, enabling both to benefit from the insights of the other. Conversely, critical constructivists argue that this approach simply reproduces the binary distinctions that characterize positivist methodology.'
 'Critical constructivism regards the strength of social constructivism to be its ability to bridge rationalist and reflectivity approaches. Conversely, social constructivists regard this as an unhelpful regression to positivist binary frameworks of analysis.'
 'Conventional constructivism refers to the earlier works of social constructivist theorists that are characterised by a rejection of positivist methodology. Critical constructivists challenge these theories, embracing positivist methodologies in their work.'
 'Social constructivism is best understood as a uniform approach to the construction of social identities and security; although distinctions exist within the field, these are not easily defined as distinctive separate approaches.']",0,0.0016668962162216237,0.013956751141770874,0.9784439505484147,0.005818039469108935,,2.3777008867969675e-05,,,1.7395631297409512e-05,,8.217114388711037e-06,2.2116063348116156e-06,,,,5.30536779656071e-06,,,,,,,2.3542426887146007e-06,,,,,,,,,,,,,,,
