question,subject,choices,answer,c,d,a,b,Ñ,e,3,4,all,Ð°,1,ab,ac,cd,ad,f,bcd,2,choice,option,bc,cb,ba,none,bd,wrong,solution,an,not,da,hm,g,abcd,abc,res,band,dc,sol,abd,199,db,h,n,post,v
Which of these principles is not an element of the responsibility to protect?,security_studies,"['The responsibility to prevent.' 'The responsibility to react.'
 'The responsibility to remain sovereign.'
 'The responsibility to rebuild.']",2,0.999336761214698,0.0002610807207737,0.0002315387187595,0.0001397464395601,4.219976817301413e-06,3.4984836595891226e-06,2.4044703112610094e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can environmental changes be reconciled with national security interests?,security_studies,"['Environmental challenges to economic growth, such as natural resource management and employment, leads to diversification and research which may in the long-term result in technological advancements that bolster military programs.'
 ""Environmental changes can undermine national security in many ways; including weakening the economic base that determines military capacity. So if the natural capital base of an economy erodes than so does the long-term capacity of its armed forces. Any developments however, will be 'human' in impact.""
 ""The environmental problems encountered by countries are principally internal. External threats remain within a country's control: external military threats will remain unchanged and a primary concern.""
 'All of these options.']",1,5.143568647070425e-05,0.9998294639952914,2.5506149308381603e-05,6.604472875316604e-05,,3.0889530689653274e-06,,7.410013201364769e-06,1.2096514023473885e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements could be described as a liberal perspective on future energy security?,security_studies,"['The global economy is interconnected, ensuring that energy security for one is dependent upon energy security for all. Thus all core powers have the same interests in maintaining and extending the conditions under which this market operates. As long as this economic order exists, conflict between major powers over energy reserves is highly unlikely.'
 ""Energy scarcity is likely to lead to future disruptions in the global system and the emergence of a 'new international energy order', characterized less by liberal free-market trading than by statism and neo-mercantilism.""
 'Oil remains the lifeblood of the current order - an order that is based upon an unequal (and deeply unjust) distribution of wealth and power in favour of capitalist economic elites. Those who benefit most from the prevailing order will ensure that the flow of energy under favourable conditions continues to underpin their position in the global system.'
 ""Energy scarcity will signal a return to an era of greater geopolitical confrontation. 'Resource wars', in particular over energy sources, present a clear possibility for a breakdown in international cooperation, as states begin to compete (and eventually conflict) over the control of major reserves.""]",0,0.0001233548538049,7.48185008570426e-05,0.99956768041127,0.0002033777713122,,,,,,4.782986738482951e-06,1.6529559865180118e-06,8.847635826226478e-07,8.847635826226478e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a common criticism of the human security concept?,security_studies,"['Human security is neo-colonial.'
 'Human security promotes global capitalism.'
 'Human security is too broad.' 'All of these options.']",3,4.006044511267488e-05,0.9998844636216238,3.248684692197837e-05,2.4297888202572436e-05,,3.5004426829006184e-06,,7.888369356562479e-06,1.0675747011453991e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways have governments responded to the threat of TNC post-Cold War?,security_studies,"['State responses to transnational crime have evolved in correlation to the increased threat posed to the integrity of the state. Organized crime has been regarded primarily as a national security threat to be addressed domestically. The institutionalized international approaches for information sharing have been predominately bilateral to the extent of bringing to justice perpetrators of crime that are seeking to evade justice.'
 'With the expansion of TNC in the 1990s, states became increasingly willing to take measures to reduce the asymmetries between countries through harmonization of legislation and increasing police capacity and networking. The government response to transnational crime has focused on targeting the individuals and organizations perpetrating the crime, rather than the criminal markets themselves.'
 'The US war on drugs has heavily influenced the construction of the governmental response to the growing perception that the phenomenon of TNC represents a national security threat. The approach has an emphasis on bilateral and multilateral cooperation on law enforcement combined with sticks on a bi-lateral basis to induce states to increase regulation and enforcement against TNC.'
 'The emergence of norms governing the response to address the spectre of organized crime and to harmonize legislation occurred with the evolving Global War on Terror in which the terrorism-organized crime nexus resulted in the militarization of law enforcement: the use of military technology and intelligence as opposed to addressing the underlying conditions that facilitate illicit trade through an international institutionalist response.']",1,0.9998711679768468,1.5687686258693736e-05,3.618416362740473e-05,5.828682548645216e-05,1.2877237049570312e-06,,2.1230974631474336e-06,,,,,,8.314169125517729e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What potential problem for policy in the institutionalization of academe-policy interaction emerged?,security_studies,"['The main disciplinary context for security studies theorizing was a move away from the disciplinary domination of political science toward multi-academe interaction from sociology, mathematics, psychology, natural and political sciences, and economics.'
 'Policy-academe developments have resulted in the modification of the role of think tanks away from policy towards politicization resistant theory.'
 'Security studies has been marked by the gradual ""IR-ification"" of the discipline. Security studies became one of International Relations\' (IR\'s) two pillars, the second being International Political Economy. Henceforth IR became the main disciplinary context in which security studies was deliberated.'
 'Think tanks and policymakers are increasingly interrelated. The institutional blurring between universities, think tank, and policy has resulted in policy mergers at every level.']",2,0.9928053296830076,0.0066965430496852,0.0002084890421877,0.0001388296128486,7.832230805723416e-06,1.0056783423913576e-05,,,,,,,,6.160526726117497e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not one of the 10 steps of the Washington Consensus?,security_studies,"['Fiscal Discipline: budget deficits of no more than 2 per cent of gross domestic product (GDP).'
 'Tax Reform: broadening the tax base, cut marginal tax rates, improve tax administration.'
 'Property Rights: legal reforms to secure property rights without excessive costs and to regularize the informal sector.'
 'Nationalization: state enterprises should be protected.']",3,0.0007045577250559,0.9921025532376224,0.00669201029645,0.0004273358617838,,1.290442486839373e-05,,2.106589450564539e-06,,,,,,,2.127579976667244e-05,3.697179625516731e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following concepts does NOT form part of the technical discourse on cyber-security?,security_studies,"['Business networks' 'Computer experts' 'Anti-virus industry'
 'Computer networks']",0,0.0021502187711007,0.009636611965278,0.982968772143709,0.0051581066866179,,1.8603028556975013e-05,,,,3.4412142649847968e-06,2.5176461388170074e-06,,,,2.8528668275701606e-06,2.8528668275701606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the characteristics and manifestations of the strategy adopted by the USA in pursuit of energy security?,security_studies,"[""The deployment of troops in the Persian Gulf is part of the USA's attempt to secure its dominance in the oil-rich region.""
 'All of these options.'
 'The USA has sought to assert its primacy vis-Ã -vis friendly and rival powers, through the deployment of troops and other interventions.'
 'The USA has actively sought to stabilize oil-rich friendly political actors and secure the economic and political status quo.']",1,0.0001087265381848,0.0015009242780636,2.7490373967913327e-05,0.9983390875203864,,1.9913960110163525e-06,,1.9913960110163525e-06,,,,,,,,,2.402082107064201e-06,1.9913960110163525e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways do theories of conventional and critical social constructivism differ?,security_studies,"['Conventional constructivists view constructivism as a bridge between rationalist and reflectivist approaches, enabling both to benefit from the insights of the other. Conversely, critical constructivists argue that this approach simply reproduces the binary distinctions that characterize positivist methodology.'
 'Critical constructivism regards the strength of social constructivism to be its ability to bridge rationalist and reflectivity approaches. Conversely, social constructivists regard this as an unhelpful regression to positivist binary frameworks of analysis.'
 'Conventional constructivism refers to the earlier works of social constructivist theorists that are characterised by a rejection of positivist methodology. Critical constructivists challenge these theories, embracing positivist methodologies in their work.'
 'Social constructivism is best understood as a uniform approach to the construction of social identities and security; although distinctions exist within the field, these are not easily defined as distinctive separate approaches.']",0,4.5394821033798206e-05,7.888437063270327e-06,0.999892410417632,4.5394821033798206e-05,,,,,,1.067583864251883e-06,7.810610402979276e-07,,,,,,,,9.421394534515798e-07,5.714364642432866e-07,,,,,,,,,,,,,,,,,,,,,,,,,
