question,subject,choices,answer,a,b,choice,c,d,1,option,5,ab,Ð°,ac,e,4,richard,r,ad,both,s,f,the,g,2,band,',3,Ñ,bc,all,open,bcd,cd,bd,none,ba,sol,ca,real,n,bs,ron,solution,i,mon,super,thomas
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9995735289765314,0.0002304572069506,3.762110484736693e-05,3.118899137658499e-05,2.5856582017866364e-05,1.56828097492103e-05,8.935795638622703e-06,3.96523527807307e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9997671222937742,0.0001584233984107,,5.143254718134816e-05,8.396132521431575e-06,8.849458570775388e-07,,,1.653296520031505e-06,9.42019961301356e-07,9.42019961301356e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,0.0002989477177577,0.0001581450437388,,0.001501989513743,0.9980116846472123,,,,,,,7.873578104665527e-06,6.13194879348738e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9998688872239108,6.604724820768237e-05,,3.119851095389308e-05,2.429742476155373e-05,6.475044374934194e-07,,,,,,5.714206604977234e-07,,2.2600125533304475e-06,1.5896178349735323e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.9974246046441706,4.528287662539385e-05,,1.88767114069144e-05,0.0024723624708396,1.2845763324241766e-06,4.483611955198886e-06,,,1.869047535098913e-06,,7.791349303564709e-07,,,,1.2973761368803516e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,8.454849590294286e-05,0.0014986579487113,,0.0014986579487113,0.996825226169316,,,,,,,5.077531842499037e-06,3.079678738142844e-06,,,,3.16113148817939e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.999653320905139,0.0002611619028215,,7.886406114805671e-06,5.827309720124882e-05,3.965534031227414e-06,1.5529254394069843e-06,,2.1225974103954555e-06,,,1.136144522058981e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.9998921449405735,8.480861000492098e-05,,8.93876173068824e-06,7.88842954027409e-06,8.850572655075775e-07,3.689467592306266e-07,,,7.81060295420429e-07,,,,,,,,1.855180811312008e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,5.340056973615878e-05,5.82520941829334e-05,,0.0005526804815223,0.9992716548901514,,,,,,,1.5678338455165056e-05,1.2997799104019348e-05,,,,,,1.135735028392918e-06,1.0669243215671412e-06,,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,3.152361561607006e-05,4.539287294122874e-05,,6.604624041434267e-05,0.99984577540676,,,,,,,2.9018692811605826e-06,4.222194890432939e-06,,,,,,,,3.0585477201422004e-07,,,,,,,,,,,,,,,,,,,,,,,,
