question,subject,choices,answer,a,b,c,d,e,ab,ad,ac,aa,ba,bc,bcd,bd,abc,cd,dc,db,2,abcd,f,i,iv,ii,iii,4,1,band,0,z,zero,da,h,m,3,v,g,bb,t,dt,k,36,12,abd,cb,n,no
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.973409669800719,0.013884941667555942,0.007432073711878845,0.0051079845813585545,5.007694264247738e-05,1.7306128294567742e-05,1.7306128294567742e-05,1.1173676231559713e-05,7.679547878632503e-06,3.8615191779161735e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,0.13699046003961934,0.4781436589391594,0.29000880617965213,0.09415207448187347,1.915695989904299e-05,1.915695989904299e-05,,2.7873212183292718e-05,,,0.00029966527172088414,4.595515780933266e-05,2.170767947506379e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.15961544663952476,0.01484950301214915,0.8105515143209794,0.014845624463870041,1.5339956017425797e-05,,2.209930194325717e-06,7.246082143150209e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,0.10174717149545032,0.02572571371518588,0.8519186620274641,0.020035205986457544,3.0121721100996245e-05,2.0702335971446518e-05,,0.00022257108701160438,,,4.9662322289309396e-05,,,5.6274783677837105e-05,1.8269747371067205e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,0.00869352722379733,0.02358593113182004,0.8850554768353652,0.08232298862112808,2.4371292754383734e-05,,,,,,2.150759036772604e-05,1.8980381881576506e-05,,,9.639033268034602e-05,1.0814695602956293e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,0.04006425049570472,0.12340657941614226,0.031202069659223758,0.8047119586490313,4.6910414427693365e-05,1.72573770447806e-05,5.315646354146447e-05,,,,,,0.00018553428816552763,,3.653386749049172e-05,,6.023416443251361e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,0.0011754937586567116,0.9972445220549718,0.0011676263578939568,0.00033453039296045176,5.7559133572181155e-06,4.482709829892627e-06,,,,,,,,,,,,6.9429568045227615e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,0.05499796004387132,0.02943332181177871,0.05498868448865723,0.8601676723468468,7.295789311294859e-05,,4.4251199041040506e-05,,,,,,4.4251199041040506e-05,,3.446286846501094e-05,,,,1.1188455279412066e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,0.12483690825666262,0.43573644761751273,0.23324585882289886,0.20582129054700846,,,,,,,1.9781831338414215e-05,4.745414646714595e-05,8.865601730064201e-05,,1.8583310765679298e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,0.35337633287533965,0.21433358030571092,0.2428717649636907,0.18914872073965652,6.345229666730348e-05,4.596468953844708e-06,,,,,7.578296134316536e-06,4.892915731955662e-06,5.901982963752718e-06,,,,,,,5.901982963752718e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
