question,subject,choices,answer,b,d,c,a,2,band,Ø¨,Ñ,3,option,e,r,Ð°,1,ac,rock,choice,cd,bs,ab,no,ad,da,bd,the,bc,ba,abc,letter,sol,4,under,none,there,bcd,f,hand,Ð±,i,g,un,yes,mon,db,cb
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9999582612092156,1.473853857949274e-05,1.1478385387037056e-05,9.24526413726318e-06,2.1232877975696595e-06,3.0588860944335095e-07,1.6373037405833553e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,2.4296080832585423e-05,0.000123385679429,0.9998089464075972,2.7531066411030746e-05,,,,2.90175305108383e-06,1.2876451109380158e-06,8.849846796353103e-07,8.313661684392095e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,5.143264528124027e-05,0.0001398084250575,0.9997714972142016,5.420960929808155e-06,,,,1.7599283413154311e-06,1.7599283413154311e-06,9.420217580635548e-07,,5.420960929808155e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,5.143696186173766e-05,1.5687387042677914e-05,4.264273913411526e-05,0.9998524946505108,,,,,,5.726483553111086e-06,,,5.421415894045339e-06,3.726081019844335e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,2.4298768764860984e-05,4.006189691445019e-05,0.999918659552134,4.222492869260395e-06,,,,1.0676133903522226e-06,3.966664959019969e-06,,3.256036877026218e-07,,,,3.256036877026218e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9999024128976474,7.4105926966436125e-06,1.300599522308035e-05,5.828882664014828e-05,3.5005161258812837e-06,8.850690823758208e-07,,,,6.082984913062654e-07,,,,5.368215344246616e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,0.0001232427934765,0.0006258785485866,0.998663267492576,0.0004874347037468,,,,5.764142155236882e-06,,5.4149104365433485e-06,3.961633104721397e-06,,,,4.778641688022505e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,8.480642627862007e-05,1.300548669019465e-05,0.9998671171706356,6.539569394710647e-06,,,,2.7260981057068408e-06,5.771149735069163e-06,,,,,,,4.659070210188989e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.9999190225080165,3.120029619808525e-05,2.753416475453216e-05,1.1951699003518782e-05,2.726251498797366e-06,,,,5.043058187469232e-07,,,,,4.180842082090066e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,7.48423363821811e-05,5.421560663400918e-06,2.753295688424189e-05,0.9998812348186,,,,,,5.042836958308623e-07,,,1.8736412298064445e-06,1.3707852067652013e-06,,,2.699236114092633e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
