question,subject,choices,answer,a,b,c,d,e,1,ab,ad,choice,option,ac,bc,abc,4,cd,sol,dd,da,dc,bcd,bd,aa,f,3,band,2,cb,cc,all,abcd,'},none,ba,Ð°,ca,db,ccc,n,i,mon,m,abd,g
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.995116595123931,0.0027950781551872,0.0011651619249306,0.0008008032990602,1.0730770345677726e-05,9.46987159240722e-06,5.068856996443294e-06,5.068856996443294e-06,4.202230045943937e-06,3.708454999493446e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.8298715478837153,0.0601156941941281,0.0874678189362697,0.0221153279857691,0.0001024142866675,,2.5894386845649877e-05,2.5894386845649877e-05,,,7.976032665437217e-05,1.3020515398188104e-05,8.94886063750745e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,0.0011673230254922,0.0006222798733423,0.0052102855884201,0.992910203287483,6.100620122984751e-06,1.747856929056934e-06,,,,,,,,1.2915012901706334e-05,2.881728897076772e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9973382902365534,0.0011677293644495,0.0007082636617854,0.0004867820213023,,2.746236242172469e-05,6.127681325213651e-06,,,,,,,,,6.200682372461733e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.0202676052087516,0.0008904962124514,0.0021361893634211,0.9765479013994972,6.799025725632328e-06,4.672897487451109e-06,,5.692754541985957e-05,,,,,,7.237525210975592e-06,,,6.000119143463511e-06,5.295086559245084e-06,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,0.0013016468809856,0.0045431940241505,0.6742698378245445,0.318502528402538,,,,,,,1.6385316087268216e-05,5.7190372610982826e-05,,,0.0007894887414371,,,,0.0001761587493122,5.7190372610982826e-05,3.0611800541288e-05,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.97534910499498,0.0157650464270312,0.004516761424068,0.0039860279664536,6.442817218579043e-05,2.858982810088515e-05,6.442817218579043e-05,3.9077661779926606e-05,,,1.845898038416324e-05,,,,,,,,,,,1.628999301389386e-05,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.5722134713983447,0.1639419043836469,0.0994357795666895,0.1639419043836469,0.000116427383389,,1.1527872056227775e-05,2.153690036684342e-05,,,6.568383503334136e-06,,,,,,,,,,8.977915784537158e-06,,1.0173311383012522e-05,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,0.000428586592534,0.0001391416283949,0.0040663163729683,0.994994666403472,4.517267297068951e-05,,,,,,,,,0.0001017981899708,1.3776886872680116e-05,,2.004525211991577e-05,,,,8.356104283672991e-06,,,8.356104283672991e-06,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,0.0003797803743017,5.824120670939385e-05,0.0004303475436451,0.9990848079679138,3.497656326754628e-06,1.5520755865854369e-06,,,,,,,,1.2995369780304857e-05,,,1.369701897738817e-06,,,,,,,1.4580400805122474e-06,,,,,,,,,,,,,,,,,,,
How did the Cold War context shape US perceptions of the Third World?,us_foreign_policy,"['The US ignored the Third World'
 'Local developments were viewed through a geopolitical lens'
 'The US unreservedly supported decolonization' 'None of the above']",1,0.000799581158171,0.9936079352253652,0.0024628833554759,0.0027908124643416,,,,,,,,2.73601496237382e-05,,,,,,,,2.4145247297200045e-05,0.0001082114909124,,,,1.880433750251212e-05,7.363884371913291e-06,,,,,,,,,,,,,,,,,
What was unique about the NATO intervention in Kosovo?,us_foreign_policy,"['It was the first time the US became involved in the Balkans'
 'It was the first time NATO used military force'
 'It was the first war won by airpower alone'
 ""It was the first war to employ 'smart weapons'""]",2,0.0009551620999562,0.0521500712058358,0.9243821369750476,0.0217393840092427,2.8843396162845077e-05,,,,,,,0.0002736585234165,,,4.467352589252194e-05,,,,,8.884391484081309e-05,,,,,,,6.106147015590897e-05,1.4503370406604372e-05,,,,,,,,,,,,,,,
"What, according to Systemic theories, is the primary determinant of a state's foreign policy?",us_foreign_policy,"[""The character of a state's leader""
 'The distribution of power in the international system'
 ""The distribution of power within a state's governmental system""
 ""A state's political ideology""]",1,0.0399968219851176,0.9103235674098848,0.0352970715150938,0.0129850700398427,,,4.985184555984577e-05,,,,3.6472389343417416e-05,0.000732567522834,3.2186770625425275e-05,,,,,,,4.683147492427909e-05,5.6489541678665566e-05,,,,,,,,,,,,,,,,,,,,,,
Why is there so much uncertainty over which states have nuclear weapons?,us_foreign_policy,"['Leaders have incentives to lie'
 'If leaders revealed their programs, they would be more likely to be attacked'
 'Leaders will not always grant foreign monitors access to their nuclear programs'
 'ALL of the above']",3,0.0040726854727951,0.0003777577147855,0.0013185039794286,0.9937620715905324,0.0001082294489448,,,,,,,,,2.268612492392187e-05,,,,,,,,,,7.840114985513418e-06,,,,,9.5512153462238e-05,7.918235636031025e-05,,,,,,,,,,,,,
